番号,項目,語数
2.1560,接近・接触・隔離,248
2.1561,当たり・打ちなど,32
2.1562,突き・押し・引き・すれなど,38
2.1563,防止・妨害・回避,41
2.1570,成形・変形,111
2.1571,切断,56
2.1572,破壊,58
2.1573,配列・排列,70
2.1580,増減・補充,62
2.1581,伸縮,27
2.1583,進歩・衰退,34
2.1584,限定・優劣,51
2.16,時間,175
2.1600,時間,57
2.1611,時機,4
2.1622,年配,7
2.1630,年,9
2.1635,朝晩,40
2.1650,順序,13
2.1651,終始,3
2.1660,新旧・遅速,42
2.17,空間,48
2.1700,空間・場所,3
2.1721,境・間,3
2.1730,方向・方角,42
2.19,量,13
2.1931,過不足,13
2.3,精神および行為,6692
2.30,心,2831
2.3000,心,50
2.3001,感覚,5
2.3002,感動・興奮,64
2.3003,飢渇・酔い・疲労・睡眠など,97
2.3011,快・喜び,43
2.3012,恐れ・怒り・悔しさ,55
2.3013,安心・焦燥・満足,152
2.3014,苦悩・悲哀,180
2.3020,好悪・愛憎,253
2.3021,敬意・感謝・信頼など,66
2.3030,表情・態度,227
2.3031,声,96
2.3040,信念・努力・忍耐,83
2.3041,自信・誇り・恥・反省,95
2.3042,欲望・期待・失望,87
2.3047,信仰・宗教,21
2.3050,学習・習慣・記憶,131
2.3061,思考・意見・疑い,196
2.3062,注意・認知・了解,99
2.3063,比較・参考・区別・選択,89
2.3064,測定・計算,23
2.3065,研究・試験・調査・検査など,64
2.3066,判断・推測・評価,79
2.3067,決心・解決・決定・迷い,152
2.3070,意味・問題・趣旨など,1
2.3071,論理・証明・偽り・誤り・訂正など,33
2.3084,計画・案,50
2.3090,見聞き,8
2.3091,見る,193
2.3092,見せる,22
2.3093,聞く・味わう,117
2.31,言語,795
2.3100,言語活動,324
2.3102,名,25
2.3103,表現,7
2.3104,叙述,1
2.3105,翻訳,0
2.3111,文法,0
2.3112,音韻,6
2.3113,文字,0
2.3114,符号,1
2.3121,合図・挨拶,3
2.3122,通信,17
2.3123,伝達・報知,107
2.3131,話・談話,59
2.3132,問答,57
2.3133,会議・論議,12
2.3134,言論,3
2.3135,批評・弁解,28
2.3136,説明,8
2.3140,宣告・宣言・発表,4
2.3141,報告・申告,10
2.3142,評判,16
2.3150,読み,20
